Commune,pm10,pm25,no2
ABBEVILLE LA RIVIERE,15,8,8
ABLEIGES,18,9,13
ABLIS,15,8,13
ABLON SUR SEINE,17,10,24
ACHERES,19,10,21
ACHERES LA FORET,14,8,8
ADAINVILLE,20,8,9
AIGREMONT,17,9,17
AINCOURT,16,9,9
ALFORTVILLE,19,12,33
ALLAINVILLE,15,8,12
AMBLEVILLE,16,9,8
AMENUCOURT,16,9,9
AMILLIS,15,8,6
AMPONVILLE,15,8,7
ANDELU,16,8,10
ANDILLY,21,10,18
ANDRESY,19,10,16
ANDREZEL,15,9,8
ANGERVILLE,15,8,9
ANGERVILLIERS,16,9,20
ANNET SUR MARNE,17,9,14
ANTONY,20,11,35
ARBONNE LA FORET,14,8,10
ARCUEIL,14,12,33
ARGENTEUIL,22,12,26
ARGENTIERES,15,8,7
ARMENTIERES EN BRIE,15,9,8
ARNOUVILLE,23,11,27
ARNOUVILLE LES MANTES,15,8,9
ARPAJON,16,9,29
ARRANCOURT,15,8,8
ARRONVILLE,18,9,10
ARTHIES,16,9,9
ARVILLE,15,8,6
ASNIERES SUR OISE,21,8,16
ASNIERES SUR SEINE,23,13,29
ATHIS MONS,23,10,29
ATTAINVILLE,21,10,18
AUBEPIERRE OZOUER LE REPOS,15,8,7
AUBERGENVILLE,16,9,16
AUBERVILLIERS,27,14,35
AUFFARGIS,14,8,11
AUFFERVILLE,15,8,6
AUFFREVILLE BRASSEUIL,15,9,13
AUGERS EN BRIE,15,8,5
AULNAY SOUS BOIS,21,11,28
AULNAY SUR MAULDRE,15,9,12
AULNOY,15,9,7
AUTEUIL,20,12,30
AUTHON LA PLAINE,16,8,13
AUTOUILLET,15,8,9
AUVERNAUX,17,9,23
AUVERS ST GEORGES,14,8,13
AUVERS SUR OISE,21,10,16
AVERNES,17,9,10
AVON,15,8,9
AVRAINVILLE,15,9,18
BABY,15,9,5
BAGNEAUX SUR LOING,15,8,7
BAGNEUX,20,12,36
BAGNOLET,20,12,29
BAILLET EN FRANCE,21,10,18
BAILLY,16,10,14
BAILLY ROMAINVILLIERS,16,9,14
BALLAINVILLIERS,17,9,26
BALLANCOURT SUR ESSONNE,15,9,17
BALLOY,16,9,6
BANNOST VILLEGAGNON,15,8,6
BANTHELU,16,9,9
BARBEY,15,9,7
BARBIZON,14,8,9
BARCY,16,9,9
BASSEVELLE,15,8,6
BAULNE,15,9,20
BAZAINVILLE,14,8,8
BAZEMONT,15,9,12
BAZOCHES LES BRAY,16,9,6
BAZOCHES SUR GUYONNE,14,8,10
BEAUCHAMP,21,10,18
BEAUCHERY ST MARTIN,15,8,5
BEAUMONT DU GATINAIS,15,8,5
BEAUMONT SUR OISE,25,9,17
BEAUVOIR,15,8,7
BEHOUST,14,8,9
BELLEFONTAINE,20,10,16
BELLOT,16,10,6
BELLOY EN FRANCE,21,10,15
BENNECOURT,15,9,12
BERNAY VILBERT,15,8,7
BERNES SUR OISE,19,9,7
BERVILLE,18,9,9
BESSANCOURT,21,10,17
BETHEMONT LA FORET,20,10,16
BETON BAZOCHES,15,8,6
BEYNES,15,8,13
BEZALLES,15,8,5
BEZONS,22,12,28
BIEVRES,17,9,23
BLANDY,15,8,8
BLARU,15,9,9
BLENNES,15,9,5
BOBIGNY,21,11,28
BOIGNEVILLE,15,8,7
BOINVILLE EN MANTOIS,15,8,11
BOINVILLE LE GAILLARD,15,8,10
BOINVILLIERS,15,8,8
BOIS COLOMBES,22,12,27
BOIS D ARCY,17,9,16
BOIS HERPIN,15,8,8
BOIS LE ROI,15,9,15
BOISDON,15,8,6
BOISEMONT,18,9,6
BOISSETS,15,8,7
BOISSETTES,15,9,14
BOISSISE LA BERTRAND,15,9,14
BOISSISE LE ROI,15,9,14
BOISSY AUX CAILLES,15,8,7
BOISSY L AILLERIE,18,9,12
BOISSY LA RIVIERE,15,8,9
BOISSY LE CHATEL,15,8,9
BOISSY LE CUTTE,15,8,12
BOISSY LE SEC,15,8,11
BOISSY MAUVOISIN,15,8,11
BOISSY SANS AVOIR,16,9,11
BOISSY SOUS ST YON,15,8,19
BOISSY ST LEGER,19,11,36
BOITRON,15,8,6
BOMBON,15,8,7
BONDOUFLE,17,9,23
BONDY,21,12,34
BONNELLES,15,8,14
BONNEUIL EN FRANCE,22,11,25
BONNEUIL SUR MARNE,17,10,24
BONNIERES SUR SEINE,16,10,13
BOUAFLE,19,9,25
BOUFFEMONT,22,10,17
BOUGIVAL,22,10,25
BOUGLIGNY,15,8,6
BOULANCOURT,15,8,7
BOULEURS,15,9,12
BOULLAY LES TROUX,14,8,13
BOULOGNE BILLANCOURT,19,11,28
BOUQUEVAL,19,11,28
BOURAY SUR JUINE,18,10,23
BOURDONNE,14,8,7
BOURG LA REINE,18,11,33
BOURRON MARLOTTE,14,8,7
BOUSSY ST ANTOINE,17,9,16
BOUTERVILLIERS,15,8,10
BOUTIGNY,14,8,9
BOUTIGNY SUR ESSONNE,14,8,9
BOUVILLE,15,8,10
BRANSLES,15,8,6
BRAY ET LU,16,9,8
BRAY SUR SEINE,15,9,5
BREANCON,18,9,9
BREAU,15,8,7
BRETIGNY SUR ORGE,19,10,34
BREUIL BOIS ROBERT,17,9,17
BREUILLET,16,9,18
BREUX JOUY,14,8,15
BREVAL,17,9,10
BRIE COMTE ROBERT,16,9,16
BRIERES LES SCELLES,15,8,11
BRIGNANCOURT,17,9,9
BRIIS SOUS FORGES,15,9,19
BROU SUR CHANTEREINE,20,10,19
BROUY,20,10,20
BRUEIL EN VEXIN,19,9,14
BRUNOY,17,9,19
BRUYERES LE CHATEL,17,9,23
BRUYERES SUR OISE,19,9,23
BRY SUR MARNE,18,11,25
BUC,16,9,18
BUCHELAY,15,9,13
BUHY,16,9,8
BULLION,15,8,15
BUNO BONNEVAUX,14,8,8
BURCY,15,8,6
BURES SUR YVETTE,17,8,6
BUSSIERES,15,8,21
BUSSY ST GEORGES,19,9,18
BUSSY ST MARTIN,17,9,18
BUTHIERS,15,8,7
BUTRY SUR OISE,19,9,14
CACHAN,21,13,40
CANNES ECLUSE,16,9,10
CARNETIN,17,9,15
CARRIERES SOUS POISSY,19,9,19
CARRIERES SUR SEINE,19,10,23
CELY,15,8,15
CERGY,20,8,16
CERNAY LA VILLE,17,9,14
CERNEUX,15,8,6
CERNY,14,8,11
CESSON,15,9,14
CESSOY EN MONTOIS,15,8,5
CHAILLY EN BIERE,15,9,22
CHAILLY EN BRIE,15,8,6
CHAINTREAUX,15,8,6
CHALAUTRE LA GRANDE,15,9,5
CHALAUTRE LA PETITE,15,8,5
CHALIFERT,19,10,17
CHALMAISON,15,9,5
CHALO ST MARS,15,,11
CHALOU MOULINEUX,15,8,9
CHAMARANDE,16,8,15
CHAMBOURCY,17,9,17
CHAMBRY,16,9,10
CHAMIGNY,19,11,33
CHAMPAGNE SUR OISE,19,9,15
CHAMPAGNE SUR SEINE,15,8,15
CHAMPCENEST,15,8,5
CHAMPCUEIL,14,8,13
CHAMPDEUIL,15,9,10
CHAMPEAUX,15,9,10
CHAMPIGNY SUR MARNE,19,11,33
CHAMPLAN,18,10,30
CHAMPMOTTEUX,15,8,8
CHAMPS SUR MARNE,18,10,21
CHANGIS SUR MARNE,15,9,21
CHANTELOUP EN BRIE,16,9,14
CHANTELOUP LES VIGNES,16,9,17
CHAPET,19,9,17
CHARENTON LE PONT,19,9,32
CHARMENTRAY,17,9,13
CHARMONT,,9,13
CHARNY,17,9,13
CHARS,17,9,9
CHARTRETTES,15,8,9
CHARTRONGES,15,8,5
CHATEAU LANDON,15,8,10
CHATEAUBLEAU,15,8,6
CHATEAUFORT,15,8,16
CHATENAY EN FRANCE,21,10,17
CHATENAY MALABRY,18,10,26
CHATENAY SUR SEINE,16,9,6
CHATENOY,15,8,6
CHATIGNONVILLE,15,8,11
CHATILLON,19,11,31
CHATILLON LA BORDE,15,8,10
CHATOU,15,10,24
CHATRES,19,,
CHAUCONIN NEUFMONTIERS,17,9,12
CHAUFFOUR LES ETRECHY,17,9,15
CHAUFFRY,,8,6
CHAUFOUR LES BONNIERES,15,9,11
CHAUMES EN BRIE,15,8,9
CHAUMONTEL,21,8,21
CHAUSSY,16,9,8
CHAUVRY,20,9,16
CHAVENAY,16,9,13
CHAVILLE,18,10,24
CHELLES,18,10,19
CHENNEVIERES LES LOUVRES,21,10,26
CHENNEVIERES SUR MARNE,17,10,21
CHENOISE,16,9,7
CHENOU,15,8,6
CHEPTAINVILLE,15,8,19
CHERENCE,16,9,9
CHESSY,16,9,14
CHEVANNES,15,8,15
CHEVILLY LARUE,18,11,32
CHEVRAINVILLIERS,15,8,14
CHEVREUSE,14,8,14
CHEVRU,14,8,14
CHEVRY COSSIGNY,16,9,13
CHEVRY EN SEREINE,15,8,5
CHILLY MAZARIN,18,10,40
CHOISEL,14,8,12
CHOISY EN BRIE,15,8,6
CHOISY LE ROI,18,11,33
CITRY,15,9,6
CIVRY LA FORET,15,8,7
CLAIREFONTAINE EN YVELINES,14,8,9
CLAMART,18,10,27
CLAYE SOUILLY,18,10,16
CLERY EN VEXIN,17,9,9
CLICHY,27,14,44
CLICHY SOUS BOIS,19,10,23
CLOS FONTAINE,15,9,7
COCHEREL,15,9,7
COIGNIERES,14,8,13
COLLEGIEN,17,10,23
COLOMBES,23,12,28
COMBS LA VILLE,19,9,15
COMMENY,18,9,13
COMPANS,19,10,20
CONCHES SUR GONDOIRE,16,9,16
CONDE STE LIBIAIRE,16,9,13
CONDE SUR VESGRE,14,8,7
CONDECOURT,17,9,14
CONFLANS STE HONORINE,19,10,17
CONGERVILLE THIONVILLE,15,8,9
CONGIS SUR THEROUANNE,16,9,8
CORBEIL ESSONNES,17,10,20
CORBREUSE,15,8,10
CORMEILLES EN PARISIS,21,11,22
CORMEILLES EN VEXIN,18,9,10
COUBERT,17,9,17
COUBRON,19,10,20
COUILLY PONT AUX DAMES,16,9,13
COULOMBS EN VALOIS,15,9,7
COULOMMES,15,9,10
COULOMMIERS,15,9,7
COUPVRAY,17,9,14
COURANCES,15,8,10
COURBEVOIE,21,12,29
COURCELLES EN BASSEE,15,9,6
COURCELLES SUR VIOSNE,18,9,12
